codice_regione,sigla_provincia
19,AG
1,AL
11,AN
2,AO
11,AP
13,AQ
9,AR
1,AT
15,AV
16,BA
3,BG
1,BI
5,BL
15,BN
8,BO
16,BR
3,BS
16,BT
4,BZ
20,CA
14,CB
15,CE
13,CH
19,CL
1,CN
3,CO
3,CR
18,CS
19,CT
18,CZ
19,EN
8,FC
8,FE
16,FG
9,FI
11,FM
12,FR
7,GE
6,GO
9,GR
7,IM
14,IS
18,KR
3,LC
16,LE
9,LI
3,LO
12,LT
9,LU
3,MB
11,MC
19,ME
3,MI
3,MN
8,MO
9,MS
17,MT
15,NA
1,NO
20,NU
20,OR
19,PA
8,PC
5,PD
13,PE
10,PG
9,PI
6,PN
9,PO
8,PR
9,PT
11,PU
3,PV
17,PZ
8,RA
18,RC
8,RE
19,RG
12,RI
12,RM
8,RN
5,RO
15,SA
9,SI
3,SO
7,SP
19,SR
20,SS
20,SU
7,SV
16,TA
13,TE
4,TN
1,TO
19,TP
10,TR
6,TS
5,TV
6,UD
3,VA
1,VB
1,VC
5,VE
5,VI
5,VR
12,VT
18,VV
